,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-15,9.0,1.0,42.0,13.0,0.0,-2.0
1,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-16,15.0,21.0,42.0,12.0,1.0,-2.0
2,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-17,9.0,5.0,35.0,3.0,-4.0,0.0
3,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-18,8.0,5.0,40.0,2.0,-4.0,0.0
4,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-19,4.0,2.0,10.0,-1.0,-5.0,1.0
5,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-20,4.0,1.0,13.0,2.0,-5.0,0.0
6,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-21,1.0,4.0,7.0,-2.0,-5.0,1.0
7,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-22,9.0,3.0,52.0,14.0,2.0,-2.0
8,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-23,4.0,23.0,4.0,5.0,2.0,0.0
9,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-24,9.0,10.0,25.0,3.0,2.0,-1.0
10,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-25,13.0,10.0,60.0,7.0,0.0,0.0
11,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-26,-3.0,10.0,8.0,-2.0,0.0,1.0
12,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-27,1.0,7.0,9.0,0.0,1.0,1.0
13,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-28,-1.0,9.0,-1.0,-2.0,1.0,1.0
14,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-02-29,2.0,3.0,9.0,0.0,1.0,0.0
15,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-01,0.0,8.0,6.0,1.0,2.0,0.0
16,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-02,2.0,6.0,16.0,1.0,3.0,-1.0
17,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-03,-1.0,4.0,-1.0,-3.0,2.0,1.0
18,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-04,2.0,5.0,12.0,0.0,2.0,0.0
19,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-05,1.0,3.0,4.0,0.0,1.0,0.0
20,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-06,-1.0,3.0,-7.0,-2.0,1.0,0.0
21,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-07,4.0,0.0,-2.0,-3.0,0.0,0.0
22,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-08,14.0,14.0,42.0,5.0,1.0,-2.0
23,AT,Austria,,,,,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,2020-03-09,-1.0,4.0,2.0,-3.0,1.0,0.0
